หมวดหมู่ (Category),รายการสินค้า/บริการ (Product/Service Item),อัตราค่าบริการ (Price THB),หน่วย (Unit),หมายเหตุ (Remarks)
ข้อมูลดาวเทียมรายละเอียดสูงมาก (Very High Resolution),ข้อมูลดาวเทียมถ่ายใหม่ตามสั่ง (Tasking Order - VHR),600,ตารางกิโลเมตร (ตร.กม.),ขั้นต่ำ 600 ตร.กม. ส่งมอบใน 90 วัน
ข้อมูลดาวเทียมรายละเอียดสูงมาก (Very High Resolution),ข้อมูลดาวเทียมคลังภาพใหม่ (Fresh Archive <= 90 วัน),500,ตารางกิโลเมตร (ตร.กม.),ขั้นต่ำ 500 ตร.กม. ส่งมอบใน 3 วัน
ข้อมูลดาวเทียมรายละเอียดสูงมาก (Very High Resolution),ข้อมูลดาวเทียมคลังภาพเก่า (Archive > 90 วัน),300,ตารางกิโลเมตร (ตร.กม.),ขั้นต่ำ 300 ตร.กม. ส่งมอบใน 3 วัน
ข้อมูลดาวเทียมรายละเอียดสูง (High Resolution),ข้อมูลดาวเทียมรายละเอียดสูง (Archive),150,ตารางกิโลเมตร (ตร.กม.),ขั้นต่ำ 100 ตร.กม.
ข้อมูลดาวเทียมรายละเอียดสูง (High Resolution),ข้อมูลดาวเทียมรายละเอียดสูง (Tasking),250,ตารางกิโลเมตร (ตร.กม.),ขั้นต่ำ 300 ตร.กม.
ข้อมูลดาวเทียมรายละเอียดปานกลาง (Medium Resolution),ข้อมูลดาวเทียมรายละเอียดปานกลาง/บริการดาวน์โหลด,0,ไม่มีค่าใช้จ่าย/ตามเงื่อนไข,ข้อมูลเปิดภาครัฐ Open Data
บริการจัดทำสารสนเทศภูมิสารสนเทศ (GIS Value-Added),การวิเคราะห์พื้นที่น้ำท่วม/ภัยแล้ง/พื้นที่เผาไหม้รายครั้ง,5000,ครั้ง/พื้นที่,ขึ้นอยู่กับขนาดพื้นที่และความซับซ้อน
หลักสูตรอบรมภูมิสารสนเทศ (Training Course),หลักสูตรการประยุกต์ใช้ GIS และ Remote Sensing (เบื้องต้น),3500,ท่าน/หลักสูตร,รวมเอกสารและอาหารกลางวัน
หลักสูตรอบรมภูมิสารสนเทศ (Training Course),หลักสูตรการเขียนโปรแกรม Python สำหรับงานภูมิสารสนเทศ,4500,ท่าน/หลักสูตร,รวมคอมพิวเตอร์และอุปกรณ์ปฏิบัติการ
บริการทดสอบห้องปฏิบัติการความเป็นเลิศด้านอวกาศ (GALAXI),การทดสอบการสั่นสะเทือนชิ้นส่วนดาวเทียม (Vibration Test),15000,ชั่วโมง,ไม่รวมค่าบริการเตรียมอุปกรณ์ติดตั้ง
